no,commodity,date,avg_price
75,kentang,2024-03-15,16180.973684210527
76,kentang,2024-03-16,16144.342105263158
77,kentang,2024-03-17,16146.131578947368
78,kentang,2024-03-18,16125.736842105263
79,kentang,2024-03-19,16061.263157894737
80,kentang,2024-03-20,15998.736842105263
81,kentang,2024-03-21,15936.447368421053
82,kentang,2024-03-22,15989.5
83,kentang,2024-03-23,15944.605263157895
84,kentang,2024-03-24,15981.894736842105
85,kentang,2024-03-25,15853.552631578947
86,kentang,2024-03-26,15831.842105263158
87,kentang,2024-03-27,15762.526315789473
88,kentang,2024-03-28,15788.631578947368
89,kentang,2024-03-29,15766.71052631579
90,kentang,2024-03-30,15777.447368421053
91,kentang,2024-03-31,15719.78947368421
92,kentang,2024-04-01,15629.184210526315
93,kentang,2024-04-02,15632.684210526315
94,kentang,2024-04-03,15571.28947368421
95,kentang,2024-04-04,15562.105263157895
96,kentang,2024-04-05,15563.5
97,kentang,2024-04-06,15577.736842105263
98,kentang,2024-04-07,15639.78947368421
99,kentang,2024-04-08,15579.868421052632
100,kentang,2024-04-09,15600.684210526315
101,kentang,2024-04-10,15605.078947368422
102,kentang,2024-04-11,15606.052631578947
103,kentang,2024-04-12,15630.078947368422
104,kentang,2024-04-13,15625.71052631579
105,kentang,2024-04-14,15588.868421052632
106,kentang,2024-04-15,15632.263157894737
107,kentang,2024-04-16,15636.973684210527
108,kentang,2024-04-17,15628.236842105263
109,kentang,2024-04-18,15645.342105263158
110,kentang,2024-04-19,15633.5
111,kentang,2024-04-20,15635.473684210527
112,kentang,2024-04-21,15650.842105263158
113,kentang,2024-04-22,15597.184210526315
114,kentang,2024-04-23,15577.657894736842
115,kentang,2024-04-24,15540.394736842105
116,kentang,2024-04-25,15592.78947368421
117,kentang,2024-04-26,15544.342105263158
118,kentang,2024-04-27,15578.342105263158
119,kentang,2024-04-28,15592.578947368422
120,kentang,2024-04-29,15687.947368421053
121,kentang,2024-04-30,15722.394736842105
122,kentang,2024-05-01,15701.78947368421
123,kentang,2024-05-02,15737.868421052632
124,kentang,2024-05-03,15697.552631578947
125,kentang,2024-05-04,15749.947368421053
126,kentang,2024-05-05,15750.947368421053
127,kentang,2024-05-06,15602.052631578947
128,kentang,2024-05-07,15668.052631578947
129,kentang,2024-05-08,15597.684210526315
130,kentang,2024-05-09,15585.631578947368
131,kentang,2024-05-10,15581.236842105263
132,kentang,2024-05-11,15529.5
133,kentang,2024-05-12,15488.236842105263
134,kentang,2024-05-13,15650.078947368422
135,kentang,2024-05-14,15600.526315789473
136,kentang,2024-05-15,15695.263157894737
137,kentang,2024-05-16,15663.921052631578
138,kentang,2024-05-17,15644.842105263158
139,kentang,2024-05-18,15580.552631578947
140,kentang,2024-05-19,15603.368421052632
141,kentang,2024-05-20,15631.447368421053
142,kentang,2024-05-21,15657.526315789473
143,kentang,2024-05-22,15627.684210526315
144,kentang,2024-05-23,15647.973684210527
145,kentang,2024-05-24,15690.21052631579
146,kentang,2024-05-25,15745.026315789473
147,kentang,2024-05-26,15764.815789473685
148,kentang,2024-05-27,15997.657894736842
